model,parameters,Accuracy,F1,ROC_AUC,Precision_at_1%,Recall_at_1%,Precision_at_2%,Recall_at_2%,Precision_at_5%,Recall_at_5%,Precision_at_10%,Recall_at_10%,Precision_at_20%,Recall_at_20%,Precision_at_30%,Recall_at_30%,Precision_at_50%,Recall_at_50%
LR,"{'C': 10, 'penalty': 'l1', 'random_state': 10, 'solver': 'liblinear'}",0.7131115991577422,0.8275280057712986,0.6558053093214576,0.9138321995464853,0.012755182782085773,0.9173272933182333,0.025636967874663713,0.9089673913043478,0.06352270928944453,0.8874547101449275,0.12403861370470011,0.8606362504245443,0.2406076910903624,0.84,0.3522709289444532,0.809808449938867,0.5660072796328532
SVM,"{'C': 1, 'dual': False, 'loss': 'squared_hinge', 'penalty': 'l1', 'random_state': 10}",0.714922906242217,0.8322564314357657,0.6425555396894266,0.9047619047619048,0.012628580471593607,0.9105322763306908,0.02544706440892546,0.8971920289855072,0.06269979427124545,0.8731884057971014,0.12204462731444848,0.8484093739386392,0.2371894287070739,0.8310943396226416,0.3485361607849343,0.8009328442693474,0.5598037664187372
RF,"{'max_features': 10, 'random_state': 10}",0.6970362487830281,0.8072318663113159,0.6391592882033826,0.8979591836734694,0.012533628738724482,0.9026047565118913,0.025225510365564172,0.8890398550724637,0.0621300838740307,0.8838315217391305,0.12353220446273144,0.85044718668629,0.23775913910428864,0.8361509433962264,0.3506567494856781,0.7992573472807136,0.5586326950466846
DT,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 10, 'random_state': 10}",0.705821088142731,0.8238117838497526,0.6489029734071203,0.81859410430839,0.011425858521918025,0.8369195922989807,0.023389776863427757,0.8700181159420289,0.060800759613862956,0.8779438405797102,0.12270928944453237,0.8702592550662289,0.24329799018832093,0.8501886792452831,0.3565437569235639,0.8098537336412626,0.5660389302104764
BG,"{'max_samples': 0.05, 'n_estimators': 2, 'random_state': 10}",0.685806144859284,0.8038614295204309,0.5632236337370586,0.7664399092970522,0.010697895236588068,0.7723669309173273,0.021585693938914387,0.7771739130434783,0.05431239120113942,0.7708333333333334,0.10773856622883368,0.7635005094531869,0.2134514954897927,0.7657358490566037,0.3211267605633803,0.7619435765068152,0.5325526190852983
KNN,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.6899268684764643,0.8082013360783159,0.5522937076929685,0.7301587301587301,0.010191485994619403,0.7406568516421291,0.02069947776546922,0.7404891304347826,0.05174869441367305,0.7468297101449275,0.10438360500079126,0.7500283029548285,0.20968507675265075,0.7522264150943396,0.31546130716885584,0.7531585382420867,0.5264124070264282
Baseline,{'strategy': 'uniform'},0.7153530916747798,0.8340592909374093,0.5,0.7210884353741497,0.010064883684127236,0.7259343148357871,0.02028802025636968,0.7228260869565217,0.050514321886374426,0.7185235507246377,0.10042728279791106,0.7162911807992755,0.20025320462098434,0.7151698113207547,0.2999208735559424,0.717791966671195,0.5016933059028327
