model,parameters,accuracy,f1,roc_auc,precision,recall
RF,"{'max_features': 2, 'random_state': 10}",0.692145719654946,0.8045874592201895,0.6161799089625463,0.7369030695519402,0.885962968824181
BG,"{'max_samples': 0.05, 'n_estimators': 2, 'random_state': 10}",0.685806144859284,0.8038614295204309,0.5632236337370586,0.7262488507508428,0.9000474758664345
KNN,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.6877306586365386,0.806758953090848,0.5510656428750426,0.7237851019433341,0.9112201297673682
SVM,"{'C': 0.001, 'dual': False, 'loss': 'squared_hinge', 'penalty': 'l2', 'random_state': 10}",0.7153530916747798,0.8339628621992128,0.6215448681679929,0.7155678444348752,0.9993036872922931
Baseline,{'strategy': 'uniform'},0.7153530916747798,0.8340592909374093,0.5,0.7153530916747798,1.0
LR,"{'C': 0.001, 'penalty': 'l1', 'random_state': 10, 'solver': 'liblinear'}",0.7153530916747798,0.8340592909374093,0.5795536488116155,0.7153530916747798,1.0
DT,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 2, 'random_state': 10}",0.7153530916747798,0.8340592909374093,0.5332547523573915,0.7153530916747798,1.0
