model,parameters,Accuracy,F1,ROC_AUC,Precision_at_1%,Recall_at_1%,Precision_at_2%,Recall_at_2%,Precision_at_5%,Recall_at_5%,Precision_at_10%,Recall_at_10%,Precision_at_20%,Recall_at_20%,Precision_at_30%,Recall_at_30%,Precision_at_50%,Recall_at_50%
SVM,Default,0.6880240908037989,0.8128716723170122,0.6478763967610442,0.8744186046511628,0.012713870291472239,0.8793503480278422,0.02563062149185095,0.8758109360518999,0.06390748630553865,0.8591288229842446,0.12538040170419965,0.8297428769979153,0.24223980523432745,0.8084942084942085,0.35402718604179345,0.7759451445515196,0.5663082437275986
LR,Default,0.6883483900857077,0.8122680210978707,0.6441814553160717,0.8232558139534883,0.011969973625481842,0.8468677494199536,0.024683843916954083,0.8721037998146431,0.06363697842699668,0.8577386468952733,0.12517752079529315,0.8241834607366226,0.24061675796307566,0.8058687258687258,0.3528775275579901,0.774184581171238,0.5650233313045242
RF,Default,0.6750984479962937,0.7909250812390066,0.6218720711021086,0.813953488372093,0.011834719686210861,0.814385150812065,0.023737066342057214,0.8294717330861909,0.06052613782376412,0.8429101019462465,0.12301345776695746,0.8072735696085245,0.23567998917968486,0.7935135135135135,0.3474673699871509,0.761767976278725,0.5559613173733685
BG,Default,0.6754227472782025,0.7885810851590319,0.6220613878196207,0.8372093023255814,0.012172854534388313,0.8352668213457076,0.024345709068776627,0.8266913809082483,0.06032325691485765,0.8345690454124189,0.12179617231351864,0.8049571461663192,0.23500371948332996,0.7911969111969112,0.3464529654426185,0.7615826538176427,0.5558260634340976
KNN,Default,0.6414639796154737,0.7620892127025117,0.5581513199903074,0.7813953488372093,0.011361330898762427,0.765661252900232,0.02231689997971191,0.7534754402224282,0.05498072631365389,0.7506950880444856,0.10955569080949483,0.7523743340282604,0.2196523973760736,0.7355984555984556,0.3221072563738419,0.7222016308376575,0.527084601339014
DT,Default,0.6115821172110262,0.7186010606162313,0.5452791809030988,0.6790697674418604,0.009873537566781632,0.7053364269141531,0.020558598769189154,0.6987951807228916,0.05099073510515994,0.7034291010194624,0.10265773990667479,0.7102154273801251,0.20734428890241427,0.7110424710424711,0.31135456820179885,0.7137694588584136,0.5209305471021843
Baseline,Default,0.5783646050498031,0.7026493335527397,0.5025980276203346,0.6465116279069767,0.009738283627510651,0.6751740139211136,0.020152836951376207,0.696014828544949,0.04916480692500169,0.6830398517145505,0.09866774869818083,0.6810284920083391,0.2030161628457429,0.6875675675675675,0.2993169676066815,0.6857857672349889,0.4974639886386691
